VSG_mean,VSE_mean,VSB_mean,VSQ_mean,VSR_mean,cn0_G1_mean,cn0_G2_mean,VSG_max,VSE_max,VSB_max,VSQ_max,VSR_max,cn0_G1_max,cn0_G2_max,VSG_min,VSE_min,VSB_min,VSQ_min,VSR_min,cn0_G1_min,cn0_G2_min,cno_G_mean,cno_E_mean,cno_B_mean,cno_Q_mean,cno_R_mean,elev_G_mean,elev_E_mean,elev_B_mean,elev_Q_mean,elev_R_mean,cno_G_max,cno_E_max,cno_B_max,cno_Q_max,cno_R_max,elev_G_max,elev_E_max,elev_B_max,elev_Q_max,elev_R_max,cno_G_min,cno_E_min,cno_B_min,cno_Q_min,cno_R_min,elev_G_min,elev_E_min,elev_B_min,elev_Q_min,elev_R_min
3.75,3.0555555555555554,2.4761904761904763,1.6,10.090909090909092,8.4375,5.0,30.0,33.0,40.0,7.0,255.0,45.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4375,6.0,4.9523809523809526,16.0,9.393939393939394,11.0,8.75,17.365079365079364,15.9,4.696969696969697,45.0,47.0,47.0,43.0,50.0,60.0,52.0,81.0,50.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.0
3.75,3.0555555555555554,2.4761904761904763,1.6,10.090909090909092,8.4375,5.09375,30.0,33.0,40.0,7.0,255.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4375,6.0,4.936507936507937,16.1,9.424242424242424,11.0,8.75,17.365079365079364,15.9,4.696969696969697,45.0,47.0,47.0,43.0,50.0,60.0,52.0,81.0,50.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.0
3.75,3.0555555555555554,2.4761904761904763,1.6,10.090909090909092,8.46875,4.96875,30.0,33.0,40.0,7.0,255.0,45.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.46875,6.0,4.9523809523809526,16.1,9.484848484848484,11.0,8.75,17.365079365079364,15.9,4.666666666666667,45.0,47.0,47.0,43.0,50.0,60.0,52.0,81.0,50.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.0
3.75,3.0555555555555554,2.4761904761904763,1.6,10.090909090909092,8.5,5.03125,30.0,33.0,40.0,7.0,255.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,5.972222222222222,4.920634920634921,16.1,9.515151515151516,11.0,8.75,17.365079365079364,15.9,4.666666666666667,45.0,47.0,47.0,43.0,50.0,60.0,52.0,81.0,50.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.0
3.75,3.0555555555555554,2.4761904761904763,1.6,10.090909090909092,8.5,5.09375,30.0,33.0,40.0,7.0,255.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,5.972222222222222,4.936507936507937,16.1,9.545454545454545,11.0,8.75,17.365079365079364,15.9,4.666666666666667,45.0,47.0,47.0,43.0,50.0,60.0,52.0,81.0,50.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.0
3.75,3.0555555555555554,2.4761904761904763,1.6,10.090909090909092,8.46875,5.0625,30.0,33.0,40.0,7.0,255.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.46875,5.972222222222222,4.936507936507937,16.1,9.545454545454545,11.0,8.75,17.365079365079364,15.9,4.666666666666667,45.0,47.0,47.0,43.0,50.0,60.0,52.0,81.0,50.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.0
3.75,3.0555555555555554,2.4761904761904763,1.6,10.090909090909092,8.53125,5.15625,30.0,33.0,40.0,7.0,255.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.53125,5.972222222222222,4.936507936507937,16.1,9.575757575757576,11.0,8.75,17.365079365079364,15.9,4.666666666666667,45.0,47.0,47.0,43.0,50.0,60.0,52.0,81.0,50.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.0
3.75,3.0555555555555554,2.4761904761904763,1.6,10.090909090909092,8.59375,5.0,30.0,33.0,40.0,7.0,255.0,46.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.59375,5.972222222222222,4.920634920634921,16.1,9.545454545454545,11.0,8.75,17.365079365079364,15.9,4.666666666666667,46.0,47.0,47.0,43.0,50.0,60.0,52.0,81.0,50.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.0
3.75,3.0555555555555554,2.4761904761904763,1.6,10.090909090909092,8.59375,4.96875,30.0,33.0,40.0,7.0,255.0,46.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.59375,5.972222222222222,4.920634920634921,16.1,9.575757575757576,11.0,8.75,17.365079365079364,15.9,4.666666666666667,46.0,47.0,47.0,43.0,50.0,60.0,52.0,81.0,50.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.0
3.75,3.0555555555555554,2.4761904761904763,1.6,10.090909090909092,8.59375,5.0625,30.0,33.0,40.0,7.0,255.0,46.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.59375,5.972222222222222,4.9523809523809526,16.1,9.575757575757576,11.0,8.75,17.365079365079364,15.9,4.666666666666667,46.0,47.0,47.0,43.0,50.0,60.0,52.0,81.0,50.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.0
3.75,3.0555555555555554,2.4761904761904763,1.6,10.090909090909092,8.5625,5.03125,30.0,33.0,40.0,7.0,255.0,46.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5625,5.972222222222222,4.936507936507937,16.1,9.606060606060606,11.0,8.75,17.365079365079364,15.9,4.666666666666667,46.0,47.0,47.0,43.0,50.0,60.0,52.0,81.0,50.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.0
